,link,name,price,rating,description,how_to_use,country_of_origin
0,https://goldapple.ru/19000383938-confidence,HERE TO FEEL Confidence,1 832₽,4.9,"Аромат-напоминание о той силе и уверенности, что кроется внутри каждого из нас.Древесная композиция CONFIDENCE со смелыми нотами кожи, бобов тонка и благородными нотами пачули и мускуса.","Перед каждым использованием свечи, кроме первого зажигания, подрезайте фитиль до 5 мм.Рекомендуем не жечь свечу более трех часов за раз.Не используйте свечу, когда на дне емкости остается 5мм воска.Прежде чем погасить свечу, убедитесь, что воск растопился до краев емкости.",Россия
1,https://goldapple.ru/19000299372-onice,SOMENS Onice,16 800₽,4.9,"Somens - объединение человека и вселенной через ароматы.Талисман, олицетворяющий силу воздуха. Вдохновение и новые идеи.Onice, как воздух, который спускается с горных вершин с ледяными пиками, передает сущность и ароматы удивительного ландшафта.Благодаря нотам мяты и апельсина, дарит нам энергию и глоток свежего воздуха.Кашемировое дерево, кедр и ноты элеми вдохновляют, где бы вы ни были: уединяясь с семьей дома, путешествуя по отдаленным уголкам мира или наслаждаясь жизнью на свежем воздухе.Он приносит самые яркие впечатления, известные человеку.Парфюмер: Люка Сьёзак — французский парфюмер, третьего поколения парфюмерной династии, автор ароматов для Amouage, Nishane, Givenchy, Carolina Herrera и многих других брендов как мейнстримового, так и нишевого направлений.","Нанести аромат легким движением на внутреннюю сторону запястья, за уши и на шею.",Испания
2,https://goldapple.ru/19000257262-bois-imperial-refillable-limited-edition,ESSENTIAL PARFUMS PARIS Bois imperial refillable limited edition,9 584₽,4.7,"Лимитированная версия аромата BOIS IMPERIAL — совместный выпуск ESSENTIAL PARFUMS и «Золотого Яблока».Парфюмер – Quentin Bisch. «Центром созданного мной аромата стала необыкновенная и редкая нота – акигалвуд. Эта уникальная древесная нота, украшенная свежими специями, играет на контрастах».Чувственный и свежий аромат ESSENTIAL PARFUMS с древесными, пряными и зелеными аккордами дополняют насыщенный гаитянский ветивер, пачули и нота Ambrofix со стойким звучанием амбры. Свежие листья базилика сочетаются с игривым ароматом перца Тимут, который раскрывает не только острую грань, но и свежую ноту, напоминающую грейпфрут. В составе парфюмерной воды – 93% натуральных ингредиентов.Создатели ароматов ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду.Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила.",Только для наружного применения.,Франция
3,https://goldapple.ru/19760310036-l-ame-slave,STATE OF MIND L'Ame Slave,8 040₽,5,"Древесный аромат L'Ame Slave – это воплощение таинственной, независимой и спонтанной славянской души. Глубокая композиция создана на основе нот бергамота и гевеи, к которым присоединяются василёк, степные травы, кедр и серёжки березы. Вдохновением для создания аромата стал Второй концерт для фортепиано с оркестром Сергея Рахманинова. Контрастный и чувственный L'Ame Slave потрясает и позволяет сердцу править, руководить разумом.Верхние ноты: бергамот, лимон, гевеяНоты сердца: имбирь, мёд, ванильБазовые ноты: пуэр, кедр, береза, сандал",нет информации,Франция
4,https://goldapple.ru/19000152452-of-the-wild,MANCERA Of the wild,22 990₽,4.7,"Добро пожаловать в фантазийное путешествие в мистические края, где воздух наполнен магическими ароматами.Нанесите аромат Of The Wild и почувствуйте, будто ваши шаги становятся легче и невесомее, ощутите, как с каждым шагом вы словно отрываетесь от земли. Представьте, что вы кружитесь в танце, а ваш партнер – это таинственная ночная мгла, она обнимает вас, укрывая своим крылом. Аромат погружает в транс, пробуждает чувства и создает вокруг вас обольстительную ауру.Композиция Of The Wild воплощает собой атмосферу ночи, наполненной соблазнами и фантазиями, и погружает вас в ароматный транс, в чувственный сон, отправляет в путешествие в страну грез, где тьма и свет идут рука об руку.","Парфюмерную воду следует наносить с расстояния 10-15 см на тепловые точки: под коленями, область живота, запястья, сгибы локтей, район солнечного сплетения, точки за ушами, основание шеи со стороны спины, затылок. Как правило на одну точку достаточно один раз нажать на спрей. Растирать парфюмерную воду не рекомендуется, так как это может нарушить правильный процесс раскрытия композиции. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу, комбинируя с кремом, молочком или маслом для тела.",Франция
5,https://goldapple.ru/19000004549-perfume-vanilla-blend,ZIELINSKI & ROZEN Black Vanilla,2 690₽,4.7,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.Эрез РозенЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.Все ароматы Zielinski&Rozen категории унисекс.Ароматы продукции Zielinski&Rozen изменили свое наименование без изменения состава.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,Россия
6,https://goldapple.ru/19000215475,TUMI Awaken 08:00 gmt,12 735₽,4.6,"Парфюмерная вода AWAKEN [08:00 GMT] – это бодрящий и тонизирующий аромат, способный зарядить энергией на весь день. Современная свежая композиция TUMI с фужерными, цитрусовыми и древесными нотами подчеркивает уверенность и открытость миру.Добиться пробуждающего, воодушевляющего эффекта помогают ноты цитрусов, кориандра, кипариса, мускатного шалфея и еловых иголок. Идеальный выбор для гражданина мира, чья динамичная жизнь связана с точностью среднего времени по Гринвичу.",Только для наружного применения.,США
7,https://goldapple.ru/19000288004-java-haze,GROWER COSMETICS JAVA HAZE,4 129₽,4.9,"Коллекция интерьерных ароматов Grower - создающая незабываемое впечатление.Линейка посвящена разным прочтениям ноты конопли в парфюмерном искусстве. Она прослеживается во всех продуктах, перекликается контрастными направлениями и неожиданными сочетаниями.Аромадиффузор Grower cosmetics ""JAVA HAZE"" - уникальное сочетание ароматов, тропического острова Ява.Сладкая мята и пряная гвоздика создают свежий и бодрящий аромат, который добавляет теплоту и уют. Дымка сухого табачного листа и терпкой конопли разжигают атмосферу свободы. Аромат раскрывает в интерьере неповторимую индивидуальность, страсть к путешествиям и приключениям.Аромадиффузор Grower cosmetics ""JAVA HAZE"" - не просто ароматизатор, это способ создать уникальную атмосферу, которая будет радовать вас и ваших гостей.","При первом использовании опустите палочки в флакон на 30 минут, затем переверните их.Переворачивайте палочки каждые 10 дней.Регулируйте интенсивность аромата добавлением или уменьшение количества палочек.Разместите диффузор в месте активного движения воздуха, это позволит аромату равномерно распространиться по помещению.",Россия
8,https://goldapple.ru/19000136062-bois-imperial-by-quentin-bisch,ESSENTIAL PARFUMS PARIS BOIS IMPERIAL by Quentin Bisch,4 049₽,4.5,"Свеча ESSENTIAL PARFUMS PARIS из минерального воска помогает создать атмосферу уюта и наполняет помещение изысканным ароматом, объединившим уникальную древесную ноту акигалвуд, пряный аккорд и зеленое звучание ветивера и базилика.Чувственную парфюмерную композицию дополняют пачули и нота Ambrofix с выраженной амбровой гранью.Свеча с хлопковым фитилем рассчитана на 90 часов горения.","При первом использовании свечи зажгите ее на 1–2 часа, чтобы воск равномерно расплавился до краев стекла.Держите свечу вдали от сквозняков. Немного обрезайте фитиль перед каждым использованием.Перед использованием ознакомьтесь с мерами предосторожности.",Франция
9,https://goldapple.ru/19000196110-arilli-di-melagrana,WALLY 1925 Arilli di Melagrana,20 250₽,4.9,"Гранат – это идеальный аромат для Рождества, испокон веков он олицетворял плодородие и изобилие. Дарить гранаты на Рождество или вкушать его ягоды в кругу семьи в Новогоднюю ночь сулит удачу в будущем году. Его фруктовый аромат, деликатный и стойкий, дарит ощущение чистоты и свежести, будто свежевыжатый гранатовый сок.","Окуните все палочки во флакон;для более интенсивного распространения аромата переворачивайте палочки несколько раз в день. Регулировать аромат можно уменьшая или увеличивая число палочек.Палочки играют основную роль в интенсивности ароматизации, чем больше палочек, тем аромат насыщеннее.Для достижения лучших результатов, флакон не стоит никогда выставлять на прямой солнечный свет или ставить рядом с источниками тепла, так как под его воздействием происходит испарение аромата.",Италия
